qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
5644,890,4,6,3,5,80.652,80.183,79.791
5645,890,8,208,7,6,80.867,80.243,79.851
5646,890,13,6,4,7,81.004,80.46,79.929
5647,890,817,5,19,8,81.181,80.527,80.641
5648,890,815,1,6,9,81.612,80.545,82.398
5649,890,17,9,2,10,81.264,80.503,0.0
5650,890,16,10,15,11,81.471,80.569,0.0
5651,890,807,15,11,12,81.028,80.58,0.0
5652,890,18,1,5,13,81.131,80.777,0.0
5653,890,818,5,18,14,81.345,81.029,0.0
5654,890,813,3,16,15,80.816,81.133,0.0
5655,890,822,3,17,16,81.135,81.219,0.0
5656,890,821,15,12,17,81.724,0.0,0.0
5657,890,814,10,14,18,82.043,0.0,0.0
5658,890,819,207,20,19,83.007,0.0,0.0
5659,890,823,207,21,20,83.333,0.0,0.0
5660,890,824,206,22,21,83.787,0.0,0.0
5661,890,820,206,23,22,83.997,0.0,0.0
5662,891,1,131,10,1,120.368,109.067,121.012
5663,891,20,9,1,2,121.863,108.646,121.2
5664,891,17,9,2,3,121.597,108.641,121.325
5665,891,3,131,9,4,121.099,108.552,122.251
5666,891,814,10,14,5,122.338,108.925,122.332
5667,891,18,1,5,6,121.301,108.641,123.075
5668,891,154,208,8,7,122.476,108.649,123.081
5669,891,8,208,7,8,121.151,108.296,123.39
5670,891,4,6,3,9,120.19,108.309,123.482
5671,891,13,6,4,10,121.462,109.02,124.059
5672,891,807,15,11,11,121.712,109.088,0.0
5673,891,16,10,15,12,122.749,109.103,0.0
5674,891,815,1,6,13,122.425,109.304,0.0
5675,891,823,207,21,14,120.564,112.036,0.0
5676,891,824,206,22,15,122.11,112.563,0.0
5677,891,820,206,23,16,122.948,112.762,0.0
5678,891,813,3,16,17,123.072,0.0,0.0
5679,891,818,5,18,18,123.3,0.0,0.0
5680,891,817,5,19,19,123.317,0.0,0.0
5681,891,822,3,17,20,123.432,0.0,0.0
5682,891,821,15,12,21,124.324,0.0,0.0
5683,891,819,207,20,22,127.384,0.0,0.0
5684,892,20,9,1,1,84.319,83.977,83.755
5685,892,17,9,2,2,84.923,84.263,83.968
5686,892,807,15,11,3,84.776,84.305,84.065
5687,892,13,6,4,4,84.95,84.479,84.132
5688,892,4,6,3,5,84.661,84.227,84.142
5689,892,3,131,9,6,84.527,84.393,84.192
5690,892,817,5,19,7,84.655,84.29,84.209
5691,892,815,1,6,8,84.635,84.592,84.502
5692,892,18,1,5,9,84.739,84.563,84.515
5693,892,818,5,18,10,84.63,84.575,88.05
5694,892,8,208,7,11,84.819,84.61,0.0
5695,892,1,131,10,12,84.589,84.803,0.0
5696,892,154,208,8,13,84.737,84.848,0.0
5697,892,16,10,15,14,85.03,84.932,0.0
5698,892,813,3,16,15,84.905,85.011,0.0
5699,892,814,10,14,16,85.009,85.077,0.0
5700,892,821,15,12,17,85.226,0.0,0.0
5701,892,822,3,17,18,85.291,0.0,0.0
5702,892,823,207,21,19,86.406,0.0,0.0
5703,892,819,207,20,20,86.563,0.0,0.0
5704,892,824,206,22,21,87.085,0.0,0.0
5705,892,820,206,23,22,87.48,0.0,0.0
5706,893,20,9,1,1,105.376,102.905,102.841
5707,893,3,131,9,2,105.208,103.892,102.932
5708,893,154,208,8,3,105.851,103.957,103.058
5709,893,17,9,2,4,105.271,103.272,103.152
5710,893,1,131,10,5,104.196,103.92,103.254
5711,893,13,6,4,6,105.658,104.376,103.89
5712,893,4,6,3,7,105.115,104.153,103.938
5713,893,18,1,5,8,105.009,104.497,104.282
5714,893,817,5,19,9,105.379,104.407,104.439
5715,893,821,15,12,10,105.483,104.245,0.0
5716,893,807,15,11,11,105.381,104.555,0.0
