q1,q2,q3,driverRef_freq,points_qualifying,position_qualifying,wins,grid,position_results,positionOrder,points_results,laps,milliseconds,rank,status_freq
95.266,0.0,0.0,0.0185,14.0,1,1,1,3,3,4.0,56,5714707,0,0.2868
95.497,0.0,0.0,0.0062,12.0,2,0,2,2,2,6.0,56,5692612,0,0.2868
96.028,0.0,0.0,0.0099,10.0,3,1,4,1,1,10.0,56,5652912,0,0.2868
96.468,0.0,0.0,0.031,4.0,4,0,5,0,18,0.0,24,0,0,0.0757
97.199,0.0,0.0,0.0134,2.0,7,0,7,5,5,2.0,55,0,0,0.1509
97.245,0.0,0.0,0.0255,3.0,5,0,8,4,4,3.0,56,5722679,0,0.2868
97.536,0.0,0.0,0.0144,0.0,17,0,9,13,13,0.0,53,0,0,0.0273
97.694,0.0,0.0,0.0044,1.0,9,0,10,12,12,0.0,53,0,0,0.0273
97.919,0.0,0.0,0.0077,0.0,16,0,11,11,11,0.0,54,0,0,0.0603
98.039,0.0,0.0,0.0076,0.0,14,0,13,8,8,0.0,55,0,0,0.1509
98.057,0.0,0.0,0.0247,1.0,10,0,14,6,6,1.0,55,0,0,0.1509
98.141,0.0,0.0,0.0073,0.0,15,0,15,9,9,0.0,54,0,0,0.0603
98.374,0.0,0.0,0.0052,0.0,13,0,17,10,10,0.0,54,0,0,0.0603
98.959,0.0,0.0,0.0002,0.0,11,0,19,7,7,0.0,55,0,0,0.1509
99.121,0.0,0.0,0.0059,3.0,6,0,20,0,16,0.0,30,0,0,0.0052
99.454,0.0,0.0,0.0192,2.0,8,0,21,0,15,0.0,34,0,0,0.0118
100.158,0.0,0.0,0.0002,0.0,12,0,22,0,17,0.0,29,0,0,0.0303
91.317,0.0,0.0,0.0185,144.0,1,11,1,1,1,10.0,53,5219698,0,0.2868
91.749,0.0,0.0,0.0207,77.0,2,4,2,2,2,6.0,53,5220204,0,0.2868
92.088,0.0,0.0,0.0151,41.0,5,1,3,0,18,0.0,7,0,0,0.0041
92.197,0.0,0.0,0.031,24.0,6,0,4,3,3,4.0,53,5242990,0,0.2868
92.444,0.0,0.0,0.0099,42.0,4,1,5,11,11,0.0,48,0,0,0.0757
92.507,0.0,0.0,0.0062,50.0,3,0,6,4,4,3.0,53,5255973,0,0.2868
93.09,0.0,0.0,0.0073,2.0,15,0,7,5,5,2.0,53,5302392,0,0.2868
93.276,0.0,0.0,0.0144,7.0,11,0,8,0,13,0.0,37,0,0,0.0757
93.349,0.0,0.0,0.0076,4.0,12,0,9,0,15,0.0,27,0,0,0.0757
93.429,0.0,0.0,0.0255,14.0,7,0,10,6,6,1.0,52,0,0,0.1509
93.547,0.0,0.0,0.0174,9.0,8,0,11,0,14,0.0,32,0,0,0.0011
93.553,0.0,0.0,0.0134,7.0,10,0,12,7,7,0.0,52,0,0,0.1509
93.742,0.0,0.0,0.0044,2.0,17,0,13,8,8,0.0,52,0,0,0.1509
93.915,0.0,0.0,0.0059,8.0,9,0,14,9,9,0.0,52,0,0,0.1509
93.979,0.0,0.0,0.0247,4.0,13,0,15,0,19,0.0,3,0,0,0.0397
94.192,0.0,0.0,0.0084,3.0,14,0,16,0,17,0.0,8,0,0,0.0011
94.227,0.0,0.0,0.0052,0.0,21,0,17,0,12,0.0,39,0,0,0.012
95.191,0.0,0.0,0.0002,0.0,19,0,18,0,20,0.0,0,0,0,0.0003
95.958,0.0,0.0,0.0192,2.0,16,0,19,10,10,0.0,51,0,0,0.0603
96.267,0.0,0.0,0.0002,0.0,20,0,20,0,16,0.0,14,0,0,0.0297
71.708,0.0,0.0,0.0185,113.0,1,8,1,2,2,6.0,73,5573886,0,0.2868
71.986,0.0,0.0,0.0099,48.0,4,3,2,0,20,0.0,36,0,0,0.0297
72.252,0.0,0.0,0.0062,25.0,6,1,3,0,18,0.0,38,0,0,0.0052
72.309,0.0,0.0,0.0059,34.0,5,2,4,1,1,10.0,73,5562840,0,0.2868
72.327,0.0,0.0,0.0207,54.0,3,0,5,15,15,0.0,71,0,0,0.0757
72.434,0.0,0.0,0.0134,12.0,8,0,6,6,6,1.0,73,5635836,0,0.2868
72.5,0.0,0.0,0.0151,61.0,2,2,7,3,3,4.0,73,5574883,0,0.2868
72.605,0.0,0.0,0.0174,12.0,9,0,8,4,4,3.0,73,5620263,0,0.2868
72.607,0.0,0.0,0.0054,5.0,15,0,9,7,7,0.0,72,0,0,0.1509
72.805,0.0,0.0,0.0255,2.0,17,0,10,9,9,0.0,72,0,0,0.1509
72.881,0.0,0.0,0.031,9.0,10,0,11,0,22,0.0,2,0,0,0.0009
72.942,0.0,0.0,0.0144,8.0,11,0,12,8,8,0.0,72,0,0,0.1509
73.122,0.0,0.0,0.0084,5.0,14,0,13,11,11,0.0,72,0,0,0.1509
73.189,0.0,0.0,0.0059,6.0,12,0,14,5,5,2.0,73,5635274,0,0.2868
73.281,0.0,0.0,0.0077,6.0,13,0,15,10,10,0.0,72,0,0,0.1509
73.679,0.0,0.0,0.0052,3.0,16,0,16,12,12,0.0,72,0,0,0.1509
73.991,0.0,0.0,0.0377,0.0,23,0,17,0,21,0.0,36,0,0,0.0009
74.012,0.0,0.0,0.0076,12.0,7,0,18,0,16,0.0,45,0,0,0.0161
74.129,0.0,0.0,0.0001,0.0,21,0,19,13,13,0.0,72,0,0,0.1509
74.138,0.0,0.0,0.0049,1.0,18,0,20,0,17,0.0,44,0,0,0.0757
74.185,0.0,0.0,0.0001,0.0,24,0,21,14,14,0.0,72,0,0,0.1509
91.075,0.0,0.0,0.0185,10.0,1,1,3,1,1,10.0,58,5641987,0,0.2868
91.102,0.0,0.0,0.0207,6.0,2,0,4,2,2,6.0,58,5653402,0,0.2868
91.968,0.0,0.0,0.0076,3.0,4,0,8,4,4,3.0,58,5686434,0,0.2868
91.992,0.0,0.0,0.0144,2.0,5,0,9,5,5,2.0,58,5687152,0,0.2868
92.22,0.0,0.0,0.0099,4.0,3,0,11,3,3,4.0,58,5661996,0,0.2868
92.775,0.0,0.0,0.0029,0.0,7,0,14,7,7,0.0,58,5688902,0,0.2868
93.024,0.0,0.0,0.0134,0.0,9,0,15,9,9,0.0,56,0,0,0.0603
93.117,0.0,0.0,0.0009,1.0,6,0,16,6,6,1.0,58,5688455,0,0.2868
93.261,0.0,0.0,0.0009,0.0,8,0,18,8,8,0.0,57,0,0,0.1509
84.714,0.0,0.0,0.0059,6.0,4,0,1,2,2,6.0,62,5500944,0,0.2868
84.805,0.0,0.0,0.0185,30.0,1,3,2,1,1,10.0,62,5499776,0,0.2868
85.014,0.0,0.0,0.0151,4.0,7,0,3,3,3,4.0,62,5550784,0,0.2868
85.871,0.0,0.0,0.0207,9.0,2,0,4,4,4,3.0,62,5589052,0,0.2868
85.871,0.0,0.0,0.0099,6.0,5,0,5,0,17,0.0,45,0,0,0.0058
85.892,0.0,0.0,0.0077,4.0,8,0,6,0,22,0.0,4,0,0,0.0303
85.929,0.0,0.0,0.0059,0.0,15,0,7,7,7,0.0,61,0,0,0.1509
86.002,0.0,0.0,0.0174,3.0,9,0,8,15,15,0.0,58,0,0,0.0303
86.124,0.0,0.0,0.0076,5.0,6,0,9,5,5,2.0,61,0,0,0.1509
86.238,0.0,0.0,0.004,0.0,17,0,10,8,8,0.0,61,0,0,0.1509
86.281,0.0,0.0,0.0029,0.0,13,0,11,9,9,0.0,61,0,0,0.1509
86.336,0.0,0.0,0.0044,1.0,12,0,12,6,6,1.0,61,0,0,0.1509
86.349,0.0,0.0,0.0052,0.0,16,0,13,0,16,0.0,49,0,0,0.0297
86.814,0.0,0.0,0.0009,1.0,10,0,14,12,12,0.0,61,0,0,0.1509
86.845,0.0,0.0,0.0049,0.0,14,0,16,14,14,0.0,59,0,0,0.0273
87.051,0.0,0.0,0.0055,0.0,21,0,17,10,10,0.0,61,0,0,0.1509
87.135,0.0,0.0,0.0255,1.0,11,0,18,0,20,0.0,5,0,0,0.0757
87.253,0.0,0.0,0.0144,8.0,3,0,19,11,11,0.0,61,0,0,0.1509
88.161,0.0,0.0,0.0003,0.0,20,0,20,13,13,0.0,60,0,0,0.0603
88.333,0.0,0.0,0.0009,0.0,18,0,21,0,21,0.0,5,0,0,0.0297
88.361,0.0,0.0,0.0134,0.0,19,0,22,0,19,0.0,22,0,0,0.0052
85.703,0.0,0.0,0.0207,9.0,4,0,1,0,20,0.0,35,0,0,0.0052
85.706,0.0,0.0,0.0077,4.0,8,0,2,17,17,0.0,54,0,0,0.0057
85.741,0.0,0.0,0.0059,12.0,3,0,3,2,2,6.0,60,5331585,0,0.2868
86.088,0.0,0.0,0.0151,14.0,2,1,4,1,1,10.0,60,5330108,0,0.2868
86.161,0.0,0.0,0.0185,34.0,1,3,5,3,3,4.0,60,5350025,0,0.2868
86.733,0.0,0.0,0.0255,3.0,10,0,6,5,5,2.0,60,5387867,0,0.2868
86.786,0.0,0.0,0.0099,9.0,5,0,7,4,4,3.0,60,5371420,0,0.2868
86.793,0.0,0.0,0.0049,0.0,15,0,8,0,22,0.0,20,0,0,0.0118
86.818,0.0,0.0,0.0059,0.0,14,0,9,13,13,0.0,59,0,0,0.1509
87.025,0.0,0.0,0.0076,5.0,7,0,10,16,16,0.0,56,0,0,0.0151
87.164,0.0,0.0,0.0174,4.0,9,0,11,6,6,1.0,60,5409381,0,0.2868
87.253,0.0,0.0,0.0144,8.0,6,0,12,7,7,0.0,59,0,0,0.1509
87.301,0.0,0.0,0.004,0.0,16,0,13,11,11,0.0,59,0,0,0.1509
87.461,0.0,0.0,0.0055,0.0,20,0,14,12,12,0.0,59,0,0,0.1509
87.559,0.0,0.0,0.0054,0.0,22,0,15,10,10,0.0,59,0,0,0.1509
87.772,0.0,0.0,0.0009,1.0,12,0,16,0,19,0.0,36,0,0,0.0297
87.806,0.0,0.0,0.0134,0.0,19,0,17,0,18,0.0,51,0,0,0.0757
88.11,0.0,0.0,0.0044,1.0,11,0,18,8,8,0.0,59,0,0,0.1509
88.135,0.0,0.0,0.0052,0.0,18,0,19,0,21,0.0,26,0,0,0.0118
88.205,0.0,0.0,0.0029,0.0,13,0,20,9,9,0.0,59,0,0,0.1509
88.253,0.0,0.0,0.0009,0.0,17,0,21,14,14,0.0,59,0,0,0.1509
89.174,0.0,0.0,0.0003,0.0,21,0,22,15,15,0.0,59,0,0,0.1509
95.825,0.0,0.0,0.0185,98.0,1,8,1,1,1,10.0,53,5393435,0,0.2868
95.834,0.0,0.0,0.0059,86.0,2,4,2,2,2,6.0,53,5395272,0,0.2868
96.236,0.0,0.0,0.0151,67.0,3,3,3,3,3,4.0,53,5463349,0,0.2868
96.33,0.0,0.0,0.0207,58.0,4,1,4,4,4,3.0,53,5472626,0,0.2868
96.628,0.0,0.0,0.0255,12.0,8,0,5,5,5,2.0,53,5479129,0,0.2868
96.788,0.0,0.0,0.0099,24.0,5,0,6,0,17,0.0,41,0,0,0.0297
96.899,0.0,0.0,0.0059,3.0,13,0,7,8,8,0.0,52,0,0,0.1509
97.243,0.0,0.0,0.0077,11.0,9,0,8,0,20,0.0,29,0,0,0.0052
97.267,0.0,0.0,0.0076,15.0,7,0,9,6,6,1.0,52,0,0,0.1509
97.329,0.0,0.0,0.0055,0.0,17,0,10,7,7,0.0,52,0,0,0.1509
97.348,0.0,0.0,0.0029,2.0,15,0,11,0,19,0.0,37,0,0,0.0297
97.479,0.0,0.0,0.0144,18.0,6,0,12,14,14,0.0,52,0,0,0.1509
97.652,0.0,0.0,0.0052,2.0,16,0,13,12,12,0.0,52,0,0,0.1509
97.674,0.0,0.0,0.0049,5.0,12,0,14,0,22,0.0,9,0,0,0.0118
97.679,0.0,0.0,0.0174,6.0,10,0,15,13,13,0.0,52,0,0,0.1509
98.141,0.0,0.0,0.0134,0.0,20,0,16,0,18,0.0,41,0,0,0.0161
98.209,0.0,0.0,0.0054,0.0,22,0,17,0,21,0.0,19,0,0,0.0757
98.269,0.0,0.0,0.0009,3.0,14,0,18,9,9,0.0,52,0,0,0.1509
98.49,0.0,0.0,0.0044,6.0,11,0,19,10,10,0.0,52,0,0,0.1509
98.576,0.0,0.0,0.004,0.0,18,0,20,11,11,0.0,52,0,0,0.1509
99.972,0.0,0.0,0.0009,0.0,19,0,21,0,16,0.0,46,0,0,0.0757
100.462,0.0,0.0,0.0003,0.0,21,0,22,15,15,0.0,51,0,0,0.0603
91.781,0.0,0.0,0.0185,0.0,8,0,3,8,8,0.0,56,0,0,0.1509
92.148,0.0,0.0,0.0207,2.0,5,0,4,5,5,2.0,57,5756357,0,0.2868
92.276,0.0,0.0,0.0077,6.0,2,0,5,2,2,6.0,57,5702686,0,0.2868
92.289,0.0,0.0,0.0059,10.0,1,1,6,1,1,10.0,57,5701659,0,0.2868
92.54,0.0,0.0,0.0144,3.0,4,0,7,4,4,3.0,57,5735077,0,0.2868
92.691,0.0,0.0,0.0099,4.0,3,0,8,3,3,4.0,57,5708671,0,0.2868
94.182,0.0,0.0,0.0008,0.0,7,0,17,7,7,0.0,57,5787947,0,0.2868
94.244,0.0,0.0,0.0052,1.0,6,0,18,6,6,1.0,57,5785976,0,0.2868
76.568,0.0,0.0,0.0059,10.0,2,1,1,1,1,10.0,72,5763785,0,0.2868
77.305,0.0,0.0,0.0207,2.0,7,0,3,0,13,0.0,42,0,0,0.0757
77.578,0.0,0.0,0.0185,6.0,5,0,4,2,2,6.0,72,5768710,0,0.2868
77.81,0.0,0.0,0.0144,3.0,6,0,5,0,15,0.0,38,0,0,0.008
77.843,0.0,0.0,0.0059,12.0,1,1,6,5,5,2.0,71,0,0,0.1509
77.902,0.0,0.0,0.0077,10.0,3,0,8,3,3,4.0,71,0,0,0.0037
78.334,0.0,0.0,0.0029,0.0,11,0,9,7,7,0.0,70,0,0,0.0603
78.506,0.0,0.0,0.0099,7.0,4,0,11,4,4,3.0,71,0,0,0.1509
78.636,0.0,0.0,0.0084,1.0,9,0,12,6,6,1.0,71,0,0,0.1509
80.075,0.0,0.0,0.0052,1.0,8,0,17,0,10,0.0,52,0,0,0.0052
80.096,0.0,0.0,0.0008,0.0,10,0,19,8,8,0.0,69,0,0,0.0273
80.71,0.0,0.0,0.0009,0.0,12,0,20,9,9,0.0,69,0,0,0.0273
86.362,0.0,0.0,0.0059,10.0,3,1,1,0,18,0.0,17,0,0,0.0297
86.384,0.0,0.0,0.0151,6.0,6,0,2,2,2,6.0,62,5629057,0,0.2868
86.538,0.0,0.0,0.0185,16.0,1,1,3,1,1,10.0,62,5624792,0,0.2868
86.993,0.0,0.0,0.0059,12.0,2,1,4,0,14,0.0,46,0,0,0.0757
87.409,0.0,0.0,0.0207,6.0,7,0,6,3,3,4.0,61,0,0,0.1509
87.613,0.0,0.0,0.0077,10.0,4,0,7,0,15,0.0,46,0,0,0.0297
87.708,0.0,0.0,0.0054,3.0,9,0,8,4,4,3.0,61,0,0,0.1509
87.77,0.0,0.0,0.0099,7.0,5,0,9,0,17,0.0,28,0,0,0.0041
88.142,0.0,0.0,0.0011,0.0,19,0,10,11,11,0.0,58,0,0,0.0297
88.205,0.0,0.0,0.0084,1.0,12,0,11,0,13,0.0,48,0,0,0.0041
88.246,0.0,0.0,0.0055,0.0,18,0,12,10,10,0.0,58,0,0,0.0757
88.253,0.0,0.0,0.0054,1.0,10,0,13,6,6,1.0,61,0,0,0.1509
88.75,0.0,0.0,0.0144,5.0,8,0,16,5,5,2.0,61,0,0,0.1509
88.765,0.0,0.0,0.0029,0.0,15,0,17,0,20,0.0,5,0,0,0.0297
89.293,0.0,0.0,0.0052,1.0,11,0,18,0,19,0.0,5,0,0,0.0297
89.451,0.0,0.0,0.0044,0.0,14,0,19,7,7,0.0,59,0,0,0.0273
89.656,0.0,0.0,0.0008,0.0,13,0,20,0,16,0.0,29,0,0,0.0013
90.035,0.0,0.0,0.0009,0.0,17,0,21,9,9,0.0,59,0,0,0.0273
90.945,0.0,0.0,0.0021,0.0,16,0,22,8,8,0.0,59,0,0,0.0273
90.01,0.0,0.0,0.0059,10.0,1,1,1,1,1,10.0,58,5506000,0,0.2868
90.053,0.0,0.0,0.0151,6.0,2,0,2,2,2,6.0,58,5506702,0,0.2868
90.919,0.0,0.0,0.0076,2.0,5,0,4,5,5,2.0,57,0,0,0.1509
91.384,0.0,0.0,0.0055,1.0,6,0,5,6,6,1.0,57,0,0,0.1509
91.397,0.0,0.0,0.0077,4.0,3,0,6,3,3,4.0,57,0,0,0.1509
91.767,0.0,0.0,0.0059,3.0,4,0,8,4,4,3.0,57,0,0,0.1509
92.399,0.0,0.0,0.0054,0.0,8,0,10,8,8,0.0,57,0,0,0.1509
92.726,0.0,0.0,0.0029,0.0,7,0,11,7,7,0.0,57,0,0,0.1509
95.215,0.0,0.0,0.0084,0.0,9,0,21,9,9,0.0,57,0,0,0.1509
77.092,0.0,0.0,0.0059,20.0,1,2,1,1,1,10.0,72,5832200,0,0.2868
77.757,0.0,0.0,0.0151,12.0,2,0,2,2,2,6.0,72,5833302,0,0.2868
78.109,0.0,0.0,0.0077,6.0,3,0,3,5,5,2.0,71,0,0,0.1509
78.25,0.0,0.0,0.0185,4.0,4,0,4,3,3,4.0,72,5892750,0,0.2868
78.261,0.0,0.0,0.0029,3.0,5,0,5,4,4,3.0,72,5899653,0,0.2868
78.449,0.0,0.0,0.0059,3.0,6,0,6,8,8,0.0,71,0,0,0.1509
78.652,0.0,0.0,0.0144,1.0,9,0,7,6,6,1.0,71,0,0,0.1509
78.753,0.0,0.0,0.0084,0.0,12,0,9,0,13,0.0,63,0,0,0.0757
78.761,0.0,0.0,0.0076,2.0,7,0,10,7,7,0.0,71,0,0,0.1509
78.988,0.0,0.0,0.0054,0.0,10,0,11,0,12,0.0,70,0,0,0.0055
79.375,0.0,0.0,0.0055,1.0,8,0,14,11,11,0.0,67,0,0,0.0005
79.449,0.0,0.0,0.0054,0.0,11,0,15,9,9,0.0,71,0,0,0.1509
79.644,0.0,0.0,0.0011,0.0,13,0,16,10,10,0.0,70,0,0,0.0603
85.852,0.0,0.0,0.0151,13.0,3,0,1,6,6,1.0,72,6595851,0,0.2868
86.251,0.0,0.0,0.0185,14.0,2,1,2,1,1,10.0,72,6516100,0,0.2868
86.632,0.0,0.0,0.0059,26.0,1,2,3,2,2,6.0,72,6538998,0,0.2868
86.78,0.0,0.0,0.0059,7.0,4,0,4,3,3,4.0,72,6573845,0,0.2868
86.876,0.0,0.0,0.0077,6.0,5,0,6,9,9,0.0,71,0,0,0.1509
86.941,0.0,0.0,0.0076,2.0,7,0,7,0,17,0.0,52,0,0,0.0319
87.198,0.0,0.0,0.0029,6.0,6,0,8,4,4,3.0,72,6584234,0,0.2868
87.483,0.0,0.0,0.0054,0.0,11,0,9,8,8,0.0,71,0,0,0.1509
87.836,0.0,0.0,0.0144,1.0,9,0,10,7,7,0.0,72,6604537,0,0.2868
87.839,0.0,0.0,0.0054,2.0,8,0,11,5,5,2.0,72,6594386,0,0.2868
88.016,0.0,0.0,0.0055,1.0,10,0,12,0,18,0.0,46,0,0,0.0319
88.811,0.0,0.0,0.0008,0.0,16,0,13,12,12,0.0,70,0,0,0.0603
89.249,0.0,0.0,0.0207,0.0,13,0,14,10,10,0.0,70,0,0,0.0603
89.32,0.0,0.0,0.0084,0.0,12,0,15,15,15,0.0,65,0,0,0.0757
89.352,0.0,0.0,0.0174,0.0,15,0,16,11,11,0.0,70,0,0,0.0603
90.054,0.0,0.0,0.0015,0.0,17,0,19,13,13,0.0,69,0,0,0.0273
90.437,0.0,0.0,0.0011,0.0,18,0,21,14,14,0.0,68,0,0,0.0151
91.178,0.0,0.0,0.0011,0.0,14,0,22,0,21,0.0,17,0,0,0.012
83.271,0.0,0.0,0.0059,56.0,1,4,1,2,2,6.0,60,6444865,0,0.2868
83.72,0.0,0.0,0.0185,54.0,2,4,2,1,1,10.0,60,6422400,0,0.2868
84.102,0.0,0.0,0.0076,11.0,7,0,3,7,7,0.0,59,0,0,0.1509
84.31,0.0,0.0,0.0151,30.0,3,1,4,0,15,0.0,37,0,0,0.0297
84.436,0.0,0.0,0.0059,29.0,4,0,5,3,3,4.0,60,6451599,0,0.2868
84.442,0.0,0.0,0.0077,8.0,8,0,6,0,21,0.0,15,0,0,0.0297
84.542,0.0,0.0,0.0054,0.0,17,0,7,0,22,0.0,13,0,0,0.0297
85.081,0.0,0.0,0.0054,3.0,11,0,8,0,10,0.0,53,0,0,0.0118
85.084,0.0,0.0,0.0055,1.0,12,0,9,0,19,0.0,27,0,0,0.0297
85.654,0.0,0.0,0.0144,15.0,6,0,10,5,5,2.0,59,0,0,0.1509
85.76,0.0,0.0,0.0029,17.0,5,0,11,4,4,3.0,59,0,0,0.1509
86.376,0.0,0.0,0.004,1.0,14,0,12,0,11,0.0,45,0,0,0.0297
86.487,0.0,0.0,0.0044,3.0,10,0,13,0,20,0.0,27,0,0,0.0041
86.808,0.0,0.0,0.0174,0.0,22,0,14,0,16,0.0,37,0,0,0.0297
86.948,0.0,0.0,0.0049,0.0,23,0,15,0,14,0.0,38,0,0,0.0757
86.99,0.0,0.0,0.0207,4.0,9,0,16,0,13,0.0,39,0,0,0.0297
87.061,0.0,0.0,0.0008,0.0,21,0,17,9,9,0.0,56,0,0,0.0151
88.051,0.0,0.0,0.0004,0.0,19,0,18,0,18,0.0,29,0,0,0.0297
88.123,0.0,0.0,0.0015,0.0,16,0,19,8,8,0.0,58,0,0,0.0603
88.608,0.0,0.0,0.0011,0.0,18,0,20,0,17,0.0,29,0,0,0.0297
0.0,0.0,0.0,0.0099,1.0,13,0,21,6,6,1.0,59,0,0,0.1509
0.0,0.0,0.0,0.0084,0.0,20,0,22,0,12,0.0,40,0,0,0.0297
89.598,0.0,0.0,0.0144,15.0,6,0,1,0,15,0.0,21,0,0,0.0319
90.317,0.0,0.0,0.0054,3.0,11,0,2,0,16,0.0,21,0,0,0.0319
90.517,0.0,0.0,0.0059,66.0,1,5,3,1,1,10.0,71,5444000,0,0.2868
90.551,0.0,0.0,0.0185,58.0,2,4,4,3,3,4.0,71,5483092,0,0.2868
91.005,0.0,0.0,0.0207,4.0,9,0,5,0,18,0.0,8,0,0,0.0095
91.028,0.0,0.0,0.0044,3.0,10,0,6,0,20,0.0,1,0,0,0.0319
91.515,0.0,0.0,0.0077,8.0,8,0,7,0,17,0.0,16,0,0,0.0757
91.651,0.0,0.0,0.0059,32.0,4,0,8,4,4,3.0,71,5487976,0,0.2868
91.917,0.0,0.0,0.0099,3.0,12,0,9,5,5,2.0,71,5494654,0,0.2868
92.081,0.0,0.0,0.0084,0.0,21,0,10,0,21,0.0,0,0,0,0.008
92.083,0.0,0.0,0.0076,12.0,7,0,11,6,6,1.0,71,5497202,0,0.2868
92.099,0.0,0.0,0.0049,0.0,23,0,12,0,13,0.0,51,0,0,0.0757
92.206,0.0,0.0,0.004,1.0,14,0,13,0,19,0.0,3,0,0,0.0319
92.399,0.0,0.0,0.0151,36.0,3,1,14,2,2,6.0,71,5449289,0,0.2868
92.718,0.0,0.0,0.0054,0.0,16,0,15,7,7,0.0,71,5517624,0,0.2868
92.906,0.0,0.0,0.0174,0.0,20,0,16,10,10,0.0,70,0,0,0.1509
93.185,0.0,0.0,0.0029,17.0,5,0,17,9,9,0.0,70,0,0,0.1509
93.205,0.0,0.0,0.0055,1.0,13,0,18,8,8,0.0,70,0,0,0.1509
93.399,0.0,0.0,0.0004,0.0,19,0,19,0,14,0.0,30,0,0,0.0297
94.09,0.0,0.0,0.0008,0.0,22,0,20,0,22,0.0,0,0,0,0.0319
94.536,0.0,0.0,0.0015,0.0,17,0,21,11,11,0.0,70,0,0,0.1509
94.91,0.0,0.0,0.0011,0.0,18,0,22,12,12,0.0,69,0,0,0.0603
101.838,0.0,0.0,0.0059,76.0,1,6,1,1,1,10.0,45,4848000,0,0.2868
102.347,0.0,0.0,0.0151,42.0,3,1,2,2,2,6.0,45,4848426,0,0.2868
102.365,0.0,0.0,0.0076,16.0,6,0,3,3,3,4.0,45,4850577,0,0.2868
102.994,0.0,0.0,0.0099,4.0,10,0,4,6,6,1.0,45,4877738,0,0.2868
103.183,0.0,0.0,0.0054,3.0,11,0,5,4,4,3.0,45,4855185,0,0.2868
103.27,0.0,0.0,0.0059,32.0,4,0,6,8,8,0.0,45,4879649,0,0.2868
103.341,0.0,0.0,0.0029,17.0,5,0,7,11,11,0.0,45,4905994,0,0.2868
103.369,0.0,0.0,0.0144,15.0,7,0,8,7,7,0.0,45,4879026,0,0.2868
103.459,0.0,0.0,0.0185,60.0,2,4,9,5,5,2.0,45,4860613,0,0.2868
103.467,0.0,0.0,0.0077,8.0,8,0,10,9,9,0.0,45,4880784,0,0.2868
103.663,0.0,0.0,0.0054,3.0,13,0,11,10,10,0.0,45,4896371,0,0.2868
104.599,0.0,0.0,0.0055,1.0,14,0,12,0,17,0.0,37,0,0,0.0303
104.776,0.0,0.0,0.0207,4.0,9,0,13,0,19,0.0,27,0,0,0.0303
104.844,0.0,0.0,0.0174,0.0,20,0,14,12,12,0.0,44,0,0,0.1509
104.961,0.0,0.0,0.0008,0.0,22,0,15,13,13,0.0,44,0,0,0.1509
105.197,0.0,0.0,0.0084,0.0,21,0,16,15,15,0.0,44,0,0,0.1509
105.276,0.0,0.0,0.0044,3.0,12,0,17,14,14,0.0,44,0,0,0.1509
105.588,0.0,0.0,0.004,1.0,15,0,18,0,21,0.0,2,0,0,0.0041
105.623,0.0,0.0,0.0049,0.0,23,0,19,0,20,0.0,24,0,0,0.0303
106.713,0.0,0.0,0.0015,0.0,17,0,20,0,18,0.0,36,0,0,0.0303
107.265,0.0,0.0,0.0004,0.0,19,0,21,16,16,0.0,43,0,0,0.0603
108.682,0.0,0.0,0.0059,77.0,1,6,1,0,16,0.0,0,0,0,0.0319
108.845,0.0,0.0,0.0151,48.0,3,1,2,7,7,0.0,39,0,0,0.0083
109.728,0.0,0.0,0.0054,16.0,7,1,3,1,1,10.0,44,6227407,0,0.2868
110.027,0.0,0.0,0.0185,70.0,2,5,4,0,10,0.0,25,0,0,0.0319
110.189,0.0,0.0,0.0059,32.0,4,0,5,0,11,0.0,25,0,0,0.0297
110.204,0.0,0.0,0.0076,20.0,5,0,6,0,13,0.0,16,0,0,0.0297
110.462,0.0,0.0,0.0144,15.0,8,0,7,0,9,0.0,26,0,0,0.0319
110.501,0.0,0.0,0.0099,10.0,10,0,8,2,2,6.0,44,6228339,0,0.2868
110.686,0.0,0.0,0.0077,13.0,9,0,9,4,4,3.0,44,6259650,0,0.2868
111.189,0.0,0.0,0.0054,7.0,11,0,10,3,3,4.0,44,6234647,0,0.2868
111.648,0.0,0.0,0.0029,17.0,6,0,11,0,17,0.0,0,0,0,0.0319
111.851,0.0,0.0,0.0055,1.0,15,0,12,0,18,0.0,0,0,0,0.0319
112.572,0.0,0.0,0.0174,1.0,16,0,13,6,6,1.0,42,0,0,0.0603
112.67,0.0,0.0,0.0207,4.0,12,0,15,0,19,0.0,0,0,0,0.0319
112.784,0.0,0.0,0.0084,0.0,21,0,14,0,20,0.0,0,0,0,0.0319
113.037,0.0,0.0,0.004,3.0,14,0,16,5,5,2.0,44,6279089,0,0.2868
113.149,0.0,0.0,0.0049,0.0,23,0,17,0,15,0.0,8,0,0,0.0757
113.207,0.0,0.0,0.0044,3.0,13,0,18,0,21,0.0,0,0,0,0.0319
113.237,0.0,0.0,0.0008,0.0,22,0,19,0,14,0.0,10,0,0,0.0297
114.85,0.0,0.0,0.0011,0.0,19,0,20,0,22,0.0,0,0,0,0.0319
115.084,0.0,0.0,0.0015,0.0,18,0,21,8,8,0.0,39,0,0,0.0083
115.52,0.0,0.0,0.0004,0.0,20,0,22,0,12,0.0,17,0,0,0.0303
91.123,0.0,0.0,0.0077,0.0,8,0,2,8,8,0.0,55,0,0,0.0095
