q1,q2,q3,driverRef_freq,points_qualifying,position_qualifying,wins,grid,position_results,positionOrder,points_results,laps,milliseconds,rank,status_freq
81.69,81.117,0.0,0.0034,5.0,11,0,12,7,7,2.0,66,5957295,15,0.2868
81.757,81.211,0.0,0.0255,3.0,12,0,13,6,6,3.0,66,5952061,5,0.2868
81.427,81.23,0.0,0.009,0.0,14,0,14,11,11,0.0,65,0,12,0.1509
81.472,81.349,0.0,0.0201,7.0,9,0,15,0,14,0.0,41,0,13,0.0757
81.54,81.724,0.0,0.0026,2.0,13,0,16,0,19,0.0,7,0,19,0.0319
81.81,0.0,0.0,0.0151,0.0,15,0,17,12,12,0.0,65,0,11,0.1509
82.516,0.0,0.0,0.0144,0.0,16,0,19,10,10,0.0,65,0,14,0.1509
83.224,0.0,0.0,0.0123,0.0,21,0,20,0,21,0.0,0,0,0,0.0319
83.318,0.0,0.0,0.002,0.0,20,0,21,0,18,0.0,8,0,20,0.0016
83.496,0.0,0.0,0.0073,0.0,19,0,22,13,13,0.0,65,0,17,0.1509
85.994,86.192,87.617,0.0247,28.0,2,2,1,1,1,10.0,58,5209451,3,0.2868
86.736,86.29,87.808,0.0108,14.0,6,0,2,12,12,0.0,57,0,8,0.1509
86.192,86.477,87.923,0.0346,28.0,3,1,3,2,2,8.0,58,5213230,2,0.2868
86.457,86.05,87.936,0.031,35.0,1,2,4,3,3,6.0,58,5213722,1,0.2868
86.761,86.129,88.39,0.0094,24.0,4,0,5,4,4,5.0,58,5231396,4,0.2868
86.773,86.466,88.417,0.0192,10.0,7,0,6,7,7,2.0,58,5273680,7,0.2868
86.836,86.522,88.422,0.0377,9.0,8,0,7,6,6,3.0,58,5263175,6,0.2868
86.695,86.822,88.836,0.0174,9.0,9,0,8,10,10,0.0,58,5285795,11,0.2868
87.107,87.607,88.882,0.0134,20.0,5,0,9,5,5,4.0,58,5248192,5,0.2868
86.939,86.52,89.959,0.0151,0.0,14,0,10,9,9,0.0,58,5284721,12,0.2868
87.367,87.012,0.0,0.0201,8.0,10,0,11,8,8,1.0,58,5280857,9,0.2868
87.355,87.219,0.0,0.0207,0.0,17,0,12,14,14,0.0,57,0,14,0.1509
87.428,87.298,0.0,0.0255,3.0,12,0,13,11,11,0.0,57,0,13,0.1509
87.442,87.412,0.0,0.0288,0.0,22,0,14,17,17,0.0,57,0,15,0.1509
86.614,87.806,0.0,0.009,0.0,15,0,15,13,13,0.0,57,0,16,0.1509
87.547,0.0,0.0,0.0034,5.0,11,0,16,0,19,0.0,1,0,0,0.0319
87.568,0.0,0.0,0.0025,0.0,18,0,17,15,15,0.0,57,0,10,0.1509
87.621,0.0,0.0,0.0026,2.0,13,0,18,0,18,0.0,24,0,17,0.0161
87.807,0.0,0.0,0.0144,0.0,16,0,20,0,20,0.0,0,0,0,0.0319
88.325,0.0,0.0,0.0123,0.0,21,0,19,16,16,0.0,57,0,18,0.1509
75.19,75.11,75.787,0.0247,34.0,3,2,1,3,3,6.0,76,7247553,4,0.2868
75.717,75.404,75.815,0.031,35.0,2,2,2,9,9,0.0,76,7276534,1,0.2868
75.582,75.322,75.839,0.0346,38.0,1,2,3,1,1,10.0,76,7242742,6,0.2868
75.295,75.389,76.165,0.0108,15.0,6,0,4,8,8,1.0,76,7275933,2,0.2868
75.977,75.483,76.171,0.0094,32.0,4,0,5,2,2,8.0,76,7245806,5,0.2868
75.935,75.287,76.548,0.0201,8.0,10,0,6,0,16,0.0,59,0,15,0.0397
76.646,75.827,76.852,0.0377,9.0,8,0,7,10,10,0.0,75,0,3,0.1509
76.306,75.598,77.203,0.0174,9.0,9,0,8,13,13,0.0,75,0,12,0.1509
76.074,75.745,77.343,0.0192,15.0,7,0,9,4,4,5.0,76,7262037,8,0.2868
76.086,75.839,0.0,0.0151,0.0,16,0,15,0,19,0.0,7,0,20,0.0397
76.285,75.907,0.0,0.009,0.0,17,0,10,12,12,0.0,75,0,11,0.1509
76.259,76.101,0.0,0.0255,3.0,13,0,11,11,11,0.0,75,0,10,0.1509
76.65,76.455,0.0,0.0134,20.0,5,0,12,14,14,0.0,72,0,14,0.0151
76.756,76.479,0.0,0.0034,7.0,11,0,13,7,7,2.0,76,7272922,13,0.2868
76.208,76.537,0.0,0.0207,3.0,14,0,14,6,6,3.0,76,7271150,9,0.2868
76.806,0.0,0.0,0.0026,2.0,15,0,16,0,20,0.0,7,0,19,0.0319
76.933,0.0,0.0,0.0025,0.0,19,0,17,0,17,0.0,47,0,17,0.0397
76.955,0.0,0.0,0.0288,4.0,12,0,19,5,5,4.0,76,7267399,7,0.2868
77.225,0.0,0.0,0.0123,0.0,22,0,18,0,15,0.0,67,0,16,0.0319
